DATAFLOW,LAST UPDATE,freq,tra_infr,unit,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG
ESTAT:TGS00113(1.0),24/11/23 23:00:00,A,RL,KM,CZ07,2011,961,
ESTAT:TGS00113(1.0),24/11/23 23:00:00,A,RL,KM,CZ07,2012,962,
ESTAT:TGS00113(1.0),24/11/23 23:00:00,A,RL,KM,CZ07,2013,961,
ESTAT:TGS00113(1.0),24/11/23 23:00:00,A,RL,KM,CZ07,2014,962,
ESTAT:TGS00113(1.0),24/11/23 23:00:00,A,RL,KM,CZ07,2015,961,
ESTAT:TGS00113(1.0),24/11/23 23:00:00,A,RL,KM,CZ07,2016,962,
ESTAT:TGS00113(1.0),24/11/23 23:00:00,A,RL,KM,CZ07,2017,962,
ESTAT:TGS00113(1.0),24/11/23 23:00:00,A,RL,KM,CZ07,2018,957,
ESTAT:TGS00113(1.0),24/11/23 23:00:00,A,RL,KM,CZ07,2019,957,
ESTAT:TGS00113(1.0),24/11/23 23:00:00,A,RL,KM,CZ07,2020,957,
ESTAT:TGS00113(1.0),24/11/23 23:00:00,A,RL,KM,CZ07,2021,978,
ESTAT:TGS00113(1.0),24/11/23 23:00:00,A,RL,KM,CZ08,2010,663,
ESTAT:TGS00113(1.0),24/11/23 23:00:00,A,RL,KM,CZ08,2011,664,
ESTAT:TGS00113(1.0),24/11/23 23:00:00,A,RL,KM,CZ08,2012,664,
ESTAT:TGS00113(1.0),24/11/23 23:00:00,A,RL,KM,CZ08,2013,664,
ESTAT:TGS00113(1.0),24/11/23 23:00:00,A,RL,KM,CZ08,2014,664,
ESTAT:TGS00113(1.0),24/11/23 23:00:00,A,RL,KM,CZ08,2015,668,
ESTAT:TGS00113(1.0),24/11/23 23:00:00,A,RL,KM,CZ08,2016,667,
ESTAT:TGS00113(1.0),24/11/23 23:00:00,A,RL,KM,CZ08,2017,667,
ESTAT:TGS00113(1.0),24/11/23 23:00:00,A,RL,KM,CZ08,2018,665,
ESTAT:TGS00113(1.0),24/11/23 23:00:00,A,RL,KM,CZ08,2019,663,
ESTAT:TGS00113(1.0),24/11/23 23:00:00,A,RL,KM,CZ08,2020,663,
ESTAT:TGS00113(1.0),24/11/23 23:00:00,A,RL,KM,CZ08,2021,644,
ESTAT:TGS00113(1.0),24/11/23 23:00:00,A,RL,KM,DE30,2010,603,
ESTAT:TGS00113(1.0),24/11/23 23:00:00,A,RL,KM,DE30,2011,584,
ESTAT:TGS00113(1.0),24/11/23 23:00:00,A,RL,KM,DE30,2012,583,
ESTAT:TGS00113(1.0),24/11/23 23:00:00,A,RL,KM,DE30,2013,580,
ESTAT:TGS00113(1.0),24/11/23 23:00:00,A,RL,KM,DE30,2014,580,
ESTAT:TGS00113(1.0),24/11/23 23:00:00,A,RL,KM,DE30,2015,626,
ESTAT:TGS00113(1.0),24/11/23 23:00:00,A,RL,KM,DE30,2016,626,
ESTAT:TGS00113(1.0),24/11/23 23:00:00,A,RL,KM,DE30,2017,623,
ESTAT:TGS00113(1.0),24/11/23 23:00:00,A,RL,KM,DE30,2018,623,
ESTAT:TGS00113(1.0),24/11/23 23:00:00,A,RL,KM,DE30,2019,623,
